"Date"	"Open"	"High"	"Low"	"Close"	"Volume"	"Adj Close"
"2014-10"	"1226666.6666666667"	"1238111.111111111"	"1207777.7777777778"	"1221444.4444444445"	"229322.22222222222"	"1221444.4444444445"
"2014-09"	"1124260.8695652173"	"1139130.4347826086"	"1113782.608695652"	"1126956.5217391304"	"266834.7826086957"	"1126956.5217391304"
"2014-08"	"1199363.6363636365"	"1204681.8181818181"	"1187090.9090909092"	"1194863.6363636365"	"226795.45454545456"	"1194863.6363636365"
"2014-07"	"1268714.2857142857"	"1275904.761904762"	"1254333.3333333333"	"1261428.5714285714"	"243442.85714285713"	"1261428.5714285714"
"2014-06"	"1327565.2173913044"	"1339478.2608695652"	"1317130.4347826086"	"1329565.2173913044"	"206413.04347826086"	"1329565.2173913044"
"2014-05"	"1388571.4285714286"	"1397857.142857143"	"1373190.4761904762"	"1382428.5714285714"	"248628.57142857142"	"1382020.5980952382"
"2014-04"	"1396681.8181818181"	"1410045.4545454546"	"1387772.7272727273"	"1400454.5454545454"	"209609.0909090909"	"1400000.0322727272"
"2014-03"	"1379454.5454545454"	"1388227.2727272727"	"1365954.5454545454"	"1376454.5454545454"	"224931.81818181818"	"1376007.82"
"2014-02"	"1300000.0"	"1309142.857142857"	"1289285.7142857143"	"1300000.0"	"210671.42857142858"	"1299578.088095238"
"2014-01"	"1298400.0"	"1308000.0"	"1286750.0"	"1298300.0"	"211500.0"	"1297878.6400000001"
"2013-12"	"1303130.4347826086"	"1313695.652173913"	"1292869.5652173914"	"1300652.1739130435"	"276495.652173913"	"1300230.0508695652"
"2013-11"	"1423909.0909090908"	"1430727.2727272727"	"1412090.9090909092"	"1418318.1818181819"	"185472.72727272726"	"1408215.6077272727"
"2013-10"	"1463666.6666666667"	"1473809.5238095238"	"1449000.0"	"1461714.2857142857"	"188771.42857142858"	"1449782.4347619046"
"2013-09"	"1447652.1739130435"	"1454608.6956521738"	"1435956.5217391304"	"1447000.0"	"191191.30434782608"	"1435188.2621739132"
"2013-08"	"1376947.3684210526"	"1386210.5263157894"	"1364157.894736842"	"1376210.5263157894"	"257326.31578947368"	"1364976.6357894735"
"2013-07"	"1276363.6363636365"	"1290363.6363636365"	"1269318.1818181819"	"1280272.7272727273"	"245404.54545454544"	"1269821.9686363635"
"2013-06"	"1294695.652173913"	"1308434.7826086956"	"1279173.9130434783"	"1293173.9130434783"	"279369.5652173913"	"1282617.8439130434"
"2013-05"	"1396100.0"	"1409850.0"	"1377450.0"	"1389700.0"	"415545.0"	"1377931.3405"
"2013-04"	"1504000.0"	"1514130.4347826086"	"1494347.8260869565"	"1504217.391304348"	"214317.39130434784"	"1491429.8695652173"
"2013-03"	"1509363.6363636365"	"1521863.6363636365"	"1493000.0"	"1507954.5454545454"	"229872.72727272726"	"1495135.2549999997"
"2013-02"	"1507809.5238095238"	"1518238.0952380951"	"1492047.619047619"	"1503714.2857142857"	"268533.3333333333"	"1490931.0414285716"
"2013-01"	"1485850.0"	"1499300.0"	"1472250.0"	"1488100.0"	"196690.0"	"1475449.494"
